image_id,image_path,filename,id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
47136,myntradataset\images\47136.jpg,47136.jpg,47136,Women,Accessories,Bags,Handbags,Blue,Summer,2015.0,Casual,Be For Bag Women Blue Tote Bag
48460,myntradataset\images\48460.jpg,48460.jpg,48460,Men,Apparel,Bottomwear,Shorts,Green,Summer,2012.0,Casual,French Connection Men Green & White Check Cargo Shorts
52679,myntradataset\images\52679.jpg,52679.jpg,52679,Women,Accessories,Watches,Watches,Bronze,Winter,2016.0,Casual,Morellato Women Silver Dial Watch
29821,myntradataset\images\29821.jpg,29821.jpg,29821,Men,Apparel,Topwear,Shirts,Green,Summer,2012.0,Casual,Basics Men Green Checked Shirt
56158,myntradataset\images\56158.jpg,56158.jpg,56158,Women,Personal Care,Makeup,Kajal and Eyeliner,Purple,Spring,2017.0,Casual,Colorbar I-Glide Prunella Eye Pencil 05
48954,myntradataset\images\48954.jpg,48954.jpg,48954,Men,Accessories,Jewellery,Ring,Steel,Summer,2013.0,Casual,Revv Men Steel Ring
26903,myntradataset\images\26903.jpg,26903.jpg,26903,Women,Apparel,Topwear,Tops,Pink,Summer,2012.0,Casual,Jealous 21 Women Pink Top
42880,myntradataset\images\42880.jpg,42880.jpg,42880,Women,Accessories,Bags,Handbags,Orange,Summer,2012.0,Casual,French Connection Women Orange Sling Bag
39646,myntradataset\images\39646.jpg,39646.jpg,39646,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012.0,Casual,Lotto Men Black Casual Shoes
43158,myntradataset\images\43158.jpg,43158.jpg,43158,Women,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Fastrack Women White Dial Watch
57761,myntradataset\images\57761.jpg,57761.jpg,57761,Women,Personal Care,Skin Care,Face Wash and Cleanser,Cream,Spring,2017.0,Casual,Lotus Herbals Tea Tree & Cinnamon Anti-Acne Oil Control Face Wash
46582,myntradataset\images\46582.jpg,46582.jpg,46582,Women,Footwear,Shoes,Heels,Bronze,Summer,2012.0,Casual,Catwalk Women Bronze Sandals
28877,myntradataset\images\28877.jpg,28877.jpg,28877,Women,Apparel,Topwear,Kurtas,Yellow,Summer,2012.0,Ethnic,BIBA Women Printed Yellow Kurta
38540,myntradataset\images\38540.jpg,38540.jpg,38540,Men,Footwear,Shoes,Casual Shoes,Red,Summer,2012.0,Casual,Puma Men Red California Shoes
28690,myntradataset\images\28690.jpg,28690.jpg,28690,Women,Apparel,Topwear,Kurtas,Beige,Summer,2012.0,Ethnic,W Women Printed Beige Kurta
55475,myntradataset\images\55475.jpg,55475.jpg,55475,Women,Personal Care,Lips,Lip Liner,Pink,Spring,2017.0,Casual,Revlon Colorstay Scarlet Pink Lip Liner
16743,myntradataset\images\16743.jpg,16743.jpg,16743,Women,Accessories,Bags,Clutches,Red,Winter,2015.0,Casual,Spice Art Women Beads Red Clutch
17860,myntradataset\images\17860.jpg,17860.jpg,17860,Men,Apparel,Innerwear,Trunk,Green,Summer,2016.0,Casual,Levis Men Boxer Green Trunks
42640,myntradataset\images\42640.jpg,42640.jpg,42640,Women,Apparel,Topwear,Kurtas,Red,Summer,2012.0,Casual,W Women Red Dress
29299,myntradataset\images\29299.jpg,29299.jpg,29299,Women,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Wrangler Women Water Flower Blue T-shirt
9028,myntradataset\images\9028.jpg,9028.jpg,9028,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2011.0,Casual,Buckaroo Men Mairin Brown Casual Shoes
58978,myntradataset\images\58978.jpg,58978.jpg,58978,Men,Personal Care,Fragrance,Deodorant,Black,Spring,2017.0,Casual,Colour me Men Black Deo
33981,myntradataset\images\33981.jpg,33981.jpg,33981,Women,Apparel,Bottomwear,Stockings,Black,Summer,2012.0,Casual,Femella Women Black Stockings
17852,myntradataset\images\17852.jpg,17852.jpg,17852,Women,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Flying Machine Women Up Away White Tshirt
58456,myntradataset\images\58456.jpg,58456.jpg,58456,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Fossil Men Black Dial Analogue Watch AM4381
28590,myntradataset\images\28590.jpg,28590.jpg,28590,Men,Accessories,Belts,Belts,Black,Summer,2012.0,Casual,Peter England Men Leather Black Belt
13067,myntradataset\images\13067.jpg,13067.jpg,13067,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011.0,Casual,Numero Uno Men White Shoes
15086,myntradataset\images\15086.jpg,15086.jpg,15086,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Mother Earth Men Check Blue Shirts
21056,myntradataset\images\21056.jpg,21056.jpg,21056,Men,Footwear,Sandal,Sandals,Black,Summer,2012.0,Casual,Clarks Men Black Sandals
27889,myntradataset\images\27889.jpg,27889.jpg,27889,Women,Apparel,Topwear,Shirts,Lavender,Summer,2012.0,Formal,Scullers For Her Lavender Shirt
30246,myntradataset\images\30246.jpg,30246.jpg,30246,Men,Footwear,Flip Flops,Flip Flops,Yellow,Summer,2013.0,Casual,Numero Uno Men Yellow Flip Flops
58744,myntradataset\images\58744.jpg,58744.jpg,58744,Men,Apparel,Topwear,Tshirts,Burgundy,Summer,2012.0,Casual,Puma Men Burgundy T-shirt
12923,myntradataset\images\12923.jpg,12923.jpg,12923,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011.0,Casual,iD Men Casual Black Shoes
37148,myntradataset\images\37148.jpg,37148.jpg,37148,Men,Apparel,Topwear,Tshirts,Grey,Summer,2016.0,Casual,Campbell Men Pack of 3 T-shirt
32182,myntradataset\images\32182.jpg,32182.jpg,32182,Men,Footwear,Shoes,Sports Shoes,Brown,Summer,2012.0,Casual,ADIDAS Men Agora Brown Sport Shoes
18270,myntradataset\images\18270.jpg,18270.jpg,18270,Women,Apparel,Topwear,Kurtas,Black,Fall,2011.0,Ethnic,Aneri Women Surbhi Black Kurta
21279,myntradataset\images\21279.jpg,21279.jpg,21279,Women,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Allen Solly Women Sunglasses AS166-C1
17400,myntradataset\images\17400.jpg,17400.jpg,17400,Men,Accessories,Socks,Socks,Black,Summer,2016.0,Casual,Reid & Taylor Men Stripes Black Socks
17505,myntradataset\images\17505.jpg,17505.jpg,17505,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Classic Polo Men Stripes White Polo T-Shirt
32971,myntradataset\images\32971.jpg,32971.jpg,32971,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Angry Birds Men Printed Blue T-shirt
28329,myntradataset\images\28329.jpg,28329.jpg,28329,Men,Footwear,Sandal,Sandals,Brown,Winter,2018.0,Casual,Red Tape Men Casual Brown Sandals
54049,myntradataset\images\54049.jpg,54049.jpg,54049,Women,Apparel,Bottomwear,Jeggings,Navy Blue,Summer,2012.0,Casual,Myntra Women Navy Blue Jeggings
41702,myntradataset\images\41702.jpg,41702.jpg,41702,Women,Footwear,Shoes,Heels,Brown,Winter,2012.0,Casual,Catwalk Women Brown Wedges
13297,myntradataset\images\13297.jpg,13297.jpg,13297,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Gini and Jony Kids Boys Printed White Tshirts
27769,myntradataset\images\27769.jpg,27769.jpg,27769,Men,Accessories,Wallets,Wallets,Black,Winter,2015.0,Casual,Bulchee Men Black & Brown Wallet
31325,myntradataset\images\31325.jpg,31325.jpg,31325,Women,Apparel,Topwear,Kurtas,Purple,Summer,2012.0,Ethnic,Aurelia Women Printed Purple Kurta
56963,myntradataset\images\56963.jpg,56963.jpg,56963,Women,Footwear,Shoes,Heels,Black,Winter,2012.0,Casual,HM Women Black Flats
12708,myntradataset\images\12708.jpg,12708.jpg,12708,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011.0,Sports,Nike Men Lunareclipse White Sports Shoes
22905,myntradataset\images\22905.jpg,22905.jpg,22905,Men,Apparel,Bottomwear,Trousers,Charcoal,Summer,2011.0,Formal,Mark Taylor Men Black Striped Trousers
21660,myntradataset\images\21660.jpg,21660.jpg,21660,Women,Apparel,Innerwear,Bra,Lavender,Summer,2014.0,Casual,Enamor Women Smooth Lavender Bra
48583,myntradataset\images\48583.jpg,48583.jpg,48583,Men,Accessories,Jewellery,Bracelet,Steel,Summer,2012.0,Casual,Revv Men Steel Bracelet
59253,myntradataset\images\59253.jpg,59253.jpg,59253,Men,Accessories,Watches,Watches,Bronze,Winter,2016.0,Casual,Titan Men Bronze Chronograph Dial Watch
12120,myntradataset\images\12120.jpg,12120.jpg,12120,Women,Apparel,Topwear,Kurtas,Orange,Fall,2011.0,Ethnic,Aurelia Women Printed Orange Kurtas
3983,myntradataset\images\3983.jpg,3983.jpg,3983,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Mr.Men Men's Wassup White T-shirt
43668,myntradataset\images\43668.jpg,43668.jpg,43668,Women,Apparel,Topwear,Tunics,Pink,Summer,2012.0,Casual,ONLY Women Pink Tunic
35705,myntradataset\images\35705.jpg,35705.jpg,35705,Women,Footwear,Shoes,Sports Shoes,Grey,Summer,2012.0,Sports,Nike Women Dart 9 MSL Grey Sports Shoes
39327,myntradataset\images\39327.jpg,39327.jpg,39327,Girls,Apparel,Bottomwear,Leggings,Green,Summer,2012.0,Casual,Gini and Jony Girls Green Leggings
46483,myntradataset\images\46483.jpg,46483.jpg,46483,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Timex Men Black Dial Watch
10263,myntradataset\images\10263.jpg,10263.jpg,10263,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2013.0,Formal,Clarks Men Energise Me Leather Black Formal Shoes
13711,myntradataset\images\13711.jpg,13711.jpg,13711,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Proline Mens Solid Black Polo Tshirt
20562,myntradataset\images\20562.jpg,20562.jpg,20562,Women,Accessories,Wallets,Wallets,Black,Winter,2015.0,Casual,Baggit Women Square Taj Black Wallet
57727,myntradataset\images\57727.jpg,57727.jpg,57727,Women,Personal Care,Lips,Lip Gloss,Pink,Spring,2017.0,,Lotus Herbals Seduction Cranberry Punch Lip Gloss 30
27846,myntradataset\images\27846.jpg,27846.jpg,27846,Women,Apparel,Topwear,Blazers,Charcoal,Summer,2012.0,Formal,Scullers For Her Charcoal Blazer
47548,myntradataset\images\47548.jpg,47548.jpg,47548,Women,Footwear,Shoes,Heels,Red,Winter,2012.0,Ethnic,Portia Women Red Heels
6456,myntradataset\images\6456.jpg,6456.jpg,6456,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011.0,Sports,Lotto Men's Basketball White Red Shoe
57196,myntradataset\images\57196.jpg,57196.jpg,57196,Women,Apparel,Topwear,Tunics,Red,Summer,2012.0,Casual,Elle Women Red Tunic
48403,myntradataset\images\48403.jpg,48403.jpg,48403,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,French Connection Men Grey T-shirt
25433,myntradataset\images\25433.jpg,25433.jpg,25433,Men,Accessories,Socks,Socks,Black,Summer,2016.0,Casual,Lee Men Tripack Socks
9921,myntradataset\images\9921.jpg,9921.jpg,9921,Women,Accessories,Bags,Handbags,White,Fall,2011.0,Casual,Puma Women Ferrari LS White Handbags
14501,myntradataset\images\14501.jpg,14501.jpg,14501,Men,Footwear,Shoes,Casual Shoes,Grey,Fall,2011.0,Casual,Flying Machine Men Casual Grey Casual Shoes
30572,myntradataset\images\30572.jpg,30572.jpg,30572,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Opium Men Aviator Black Sunglasses
27986,myntradataset\images\27986.jpg,27986.jpg,27986,Men,Apparel,Innerwear,Briefs,Grey,Summer,2016.0,Casual,Jockey ZONE Men Zone Grey Brief US14
2124,myntradataset\images\2124.jpg,2124.jpg,2124,Women,Apparel,Topwear,Tshirts,Black,Winter,2010.0,Casual,Lee Women Black T-shirt
32780,myntradataset\images\32780.jpg,32780.jpg,32780,Men,Apparel,Topwear,Tshirts,Grey,Spring,2013.0,Casual,Music Men Printed Grey T-shirt
33457,myntradataset\images\33457.jpg,33457.jpg,33457,Women,Accessories,Bags,Handbags,Maroon,Summer,2012.0,Casual,Baggit Women Billuz Roy Maroon Handbag
19749,myntradataset\images\19749.jpg,19749.jpg,19749,Men,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,Levi's Men Solid Green Tshirt
47249,myntradataset\images\47249.jpg,47249.jpg,47249,Men,Apparel,Innerwear,Briefs,Black,Summer,2016.0,Casual,FCUK Underwear Men Black Brief
18376,myntradataset\images\18376.jpg,18376.jpg,18376,Men,Apparel,Innerwear,Trunk,Black,Summer,2016.0,Casual,Under Colors of Benetton Men Black Boxer Trunks
48254,myntradataset\images\48254.jpg,48254.jpg,48254,Boys,Apparel,Topwear,Tshirts,Orange,Summer,2012.0,Casual,The Amazing Spiderman Boys Orange T-shirt
3501,myntradataset\images\3501.jpg,3501.jpg,3501,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2011.0,Sports,ADIDAS Men's Deep Black Yellow Shoe
41908,myntradataset\images\41908.jpg,41908.jpg,41908,Women,Personal Care,Fragrance,Fragrance Gift Set,Red,Spring,2017.0,Casual,Playboy Women Play It Rock Fragrance Gift Set
35811,myntradataset\images\35811.jpg,35811.jpg,35811,Women,Footwear,Shoes,Heels,Gold,Summer,2012.0,Casual,Enroute Women Gold Flats
15612,myntradataset\images\15612.jpg,15612.jpg,15612,Men,Apparel,Bottomwear,Track Pants,Grey,Fall,2011.0,Sports,Nike Men AS Thermal Grey Track Pants
38359,myntradataset\images\38359.jpg,38359.jpg,38359,Men,Accessories,Wallets,Wallets,Black,Summer,2012.0,Casual,Peter England Men Black Wallet
7678,myntradataset\images\7678.jpg,7678.jpg,7678,Women,Accessories,Socks,Socks,Pink,Summer,2016.0,Casual,Wrangler Women Pink Secret Socks
21136,myntradataset\images\21136.jpg,21136.jpg,21136,Women,Apparel,Topwear,Sweaters,Navy Blue,Fall,2011.0,Casual,s.Oliver Women Stripes Navy Blue Sweater
2316,myntradataset\images\2316.jpg,2316.jpg,2316,Men,Apparel,Topwear,Tshirts,Green,Fall,2010.0,Sports,Nike Mens Athletic Green T-shirt
35055,myntradataset\images\35055.jpg,35055.jpg,35055,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2012.0,Formal,Windsor Men Black Formal Shoes
39877,myntradataset\images\39877.jpg,39877.jpg,39877,Unisex,Accessories,Bags,Backpacks,Navy Blue,Summer,2012.0,Casual,ADIDAS Unisex Navy Blue Checked Backpack
11954,myntradataset\images\11954.jpg,11954.jpg,11954,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012.0,Casual,Ganuchi Men Casual Black Casual Shoes
11136,myntradataset\images\11136.jpg,11136.jpg,11136,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Puma Men Top Flow Red-213 Black Watch
12812,myntradataset\images\12812.jpg,12812.jpg,12812,Men,Apparel,Bottomwear,Shorts,Black,Summer,2012.0,Sports,Nike Men Football/Soccer Black Shorts
12005,myntradataset\images\12005.jpg,12005.jpg,12005,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Formal,Mark Taylor Men Green Striped Shirt
36615,myntradataset\images\36615.jpg,36615.jpg,36615,Women,Footwear,Shoes,Heels,Blue,Winter,2015.0,Casual,Catwalk Women Blue Wedges
7504,myntradataset\images\7504.jpg,7504.jpg,7504,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011.0,Sports,Nike Women's Smash Pink T-shirt
38467,myntradataset\images\38467.jpg,38467.jpg,38467,Women,Accessories,Wallets,Wallets,Purple,Summer,2012.0,Casual,Baggit Women Purple Wallet
15961,myntradataset\images\15961.jpg,15961.jpg,15961,Men,Accessories,Ties,Ties,Burgundy,Fall,2011.0,Formal,Turtle Men Check Burgundy Ties
18368,myntradataset\images\18368.jpg,18368.jpg,18368,Men,Apparel,Innerwear,Innerwear Vests,White,Summer,2016.0,Casual,Undercolors of Benetton Men Basic Pack of 2 Innerwear Vests
11892,myntradataset\images\11892.jpg,11892.jpg,11892,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2013.0,Formal,Franco Leone Men Formal Black Formal Shoes
22601,myntradataset\images\22601.jpg,22601.jpg,22601,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Sports,Nike Men Grey Polo T-shirt
14771,myntradataset\images\14771.jpg,14771.jpg,14771,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2013.0,Formal,Arrow Men Stripes Navy Blue Shirts
39967,myntradataset\images\39967.jpg,39967.jpg,39967,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2013.0,Casual,Gas Men Brown Clapton Shoes
27022,myntradataset\images\27022.jpg,27022.jpg,27022,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Jealous 21 Women Washed Blue Jeans
58452,myntradataset\images\58452.jpg,58452.jpg,58452,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Fossil Men Black Dial Chronograph Watch FS4542
23145,myntradataset\images\23145.jpg,23145.jpg,23145,Women,Apparel,Topwear,Sweatshirts,Off White,Fall,2011.0,Casual,Quechua Women  Fleece Off-White Sweatshirt
2270,myntradataset\images\2270.jpg,2270.jpg,2270,Women,Apparel,Topwear,Tshirts,Pink,Fall,2010.0,Casual,Nike JDI Pink Women T-shirt
11263,myntradataset\images\11263.jpg,11263.jpg,11263,Men,Apparel,Bottomwear,Trousers,Beige,Fall,2011.0,Casual,Indigo Nation Men PV Plan Beige Trousers
35186,myntradataset\images\35186.jpg,35186.jpg,35186,Unisex,Accessories,Bags,Backpacks,Grey,Spring,2013.0,Casual,Wildcraft Unisex Grey & Black Backpack
13715,myntradataset\images\13715.jpg,13715.jpg,13715,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Proline Mens Solid Black Polo Tshirt
56361,myntradataset\images\56361.jpg,56361.jpg,56361,Men,Personal Care,Fragrance,Perfume and Body Mist,White,Spring,2017.0,Casual,Tommy Hilfiger Men 100 ml Perfume
4187,myntradataset\images\4187.jpg,4187.jpg,4187,Girls,Apparel,Topwear,Tshirts,Red,Summer,2011.0,Casual,Disney Kids Girls Red Stripes Mickey Kidswear
35491,myntradataset\images\35491.jpg,35491.jpg,35491,Men,Footwear,Shoes,Formal Shoes,Brown,Summer,2012.0,Formal,Bata Men Mocassino Brown Formal Shoes
8880,myntradataset\images\8880.jpg,8880.jpg,8880,Men,Apparel,Bottomwear,Trousers,Brown,Summer,2011.0,Casual,Scullers Men Scul Brown Trousers
18432,myntradataset\images\18432.jpg,18432.jpg,18432,Unisex,Accessories,Bags,Backpacks,Pink,Fall,2011.0,Casual,Vital Gear Unisex Pink Daypack Backpack
50884,myntradataset\images\50884.jpg,50884.jpg,50884,Women,Apparel,Saree,Sarees,Multi,Fall,2012.0,Ethnic,Prafful Multi Coloured Printed Sari
9960,myntradataset\images\9960.jpg,9960.jpg,9960,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Sports,Nike Men Jdi Remix Crew Black T-Shirts
20200,myntradataset\images\20200.jpg,20200.jpg,20200,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Wrangler Men Falcon Grey T-shirt
32561,myntradataset\images\32561.jpg,32561.jpg,32561,Women,Apparel,Bottomwear,Jeans,Peach,Summer,2012.0,Casual,ONLY Women Peach Jeans
29928,myntradataset\images\29928.jpg,29928.jpg,29928,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Police Men Black Dial Watch PL12889JVSB
49924,myntradataset\images\49924.jpg,49924.jpg,49924,Women,Apparel,Saree,Sarees,Green,Fall,2012.0,Ethnic,Fabindia Green Maheshwari Maheshwari Zari Saree
36285,myntradataset\images\36285.jpg,36285.jpg,36285,Women,Apparel,Loungewear and Nightwear,Night suits,Pink,Summer,2017.0,Casual,SDL by Sweet Dreams Pink Pyjama Set
38474,myntradataset\images\38474.jpg,38474.jpg,38474,Women,Accessories,Bags,Handbags,Grey,Fall,2012.0,Casual,Baggit Women Grey Sling Bag
50610,myntradataset\images\50610.jpg,50610.jpg,50610,Men,Apparel,Innerwear,Briefs,Navy Blue,Winter,2016.0,Casual,Chromozome Men Navy Blue Brief
48500,myntradataset\images\48500.jpg,48500.jpg,48500,Women,Apparel,Bottomwear,Jeans,Blue,Winter,2011.0,Casual,French Connection Women Blue Jeans
